objectid,cl,logradouro,codbairro,bairro,total_transações,uso,principais_tipologias,média_percentual_transferido,média_área_construída,média_valor_transação,média_valor_imóvel,principal_transação_mercado,ano_transação,cd_utilizacao,mês_transação
14618238,063867,RUA SACADURA CABRAL,001,Saúde                     ,3,NAO RESIDENCIAL,SALA,100,36.333333,44728.496666,44728.496666,COMPRA E VENDA,2011,02,7
14618239,063966,AVN VENEZUELA,001,Saúde                     ,3,NAO RESIDENCIAL,SALA,100,30,33001.973333,33001.973333,COMPRA E VENDA,2011,02,2
14618240,063966,AVN VENEZUELA,001,Saúde                     ,3,NAO RESIDENCIAL,SALA,100,86.333333,90339.566666,90339.566666,COMPRA E VENDA,2011,02,8
14618241,007690,RUA ANFILOFIO DE CARVALHO,005,Centro                    ,5,NAO RESIDENCIAL,SALA,100,60.6,92628.778,92628.778,COMPRA E VENDA,2011,02,5
14618242,060004,RUA ACRE,005,Centro                    ,2,NAO RESIDENCIAL,SALA,100,25,35273.92,35273.92,COMPRA E VENDA,2011,02,4
14618243,060004,RUA ACRE,005,Centro                    ,2,NAO RESIDENCIAL,SALA,100,63,114152.2,114152.2,COMPRA E VENDA,2011,02,11
14618244,060053,RUA DA ALFANDEGA,005,Centro                    ,2,NAO RESIDENCIAL,SALA,100,31.5,83952.29,83952.29,COMPRA E VENDA,2011,02,5
14618245,060061,AVN ALMTE BARROSO,005,Centro                    ,3,NAO RESIDENCIAL,SALA,50,32.666666,37641.703333,75283.406666,COMPRA E VENDA,2011,02,6
14618246,060061,AVN ALMTE BARROSO,005,Centro                    ,5,NAO RESIDENCIAL,SALA,70,26,60106.546,81533.928,COMPRA E VENDA,2011,02,9
14618247,060087,RUA ALVARO ALVIM,005,Centro                    ,2,NAO RESIDENCIAL,SALA,75,26,34678.825,45653.135,COMPRA E VENDA,2011,02,2
14618248,060087,RUA ALVARO ALVIM,005,Centro                    ,3,NAO RESIDENCIAL,SALA,100,32,53627.79,53627.79,COMPRA E VENDA,2011,02,8
14618249,060376,RUA BUENOS AIRES,005,Centro                    ,3,NAO RESIDENCIAL,LOJA,21.32,113.333333,99065.63,464660.553333,COMPRA E VENDA,2011,02,3
14618250,060376,RUA BUENOS AIRES,005,Centro                    ,2,NAO RESIDENCIAL,SALA,100,50,98360.65,98360.65,COMPRA E VENDA,2011,02,6
14618251,060442,RUA DA CARIOCA,005,Centro                    ,2,NAO RESIDENCIAL,LOJA,50,125,323980.92,647961.84,COMPRA E VENDA,2011,02,10
14618252,060442,RUA DA CARIOCA,005,Centro                    ,2,NAO RESIDENCIAL,SOBRELOJA,50,107,220730.19,441460.38,COMPRA E VENDA,2011,02,10
14618253,060640,RUA DA CONCEICAO,005,Centro                    ,2,NAO RESIDENCIAL,SALA,100,383.5,603166.25,603166.25,COMPRA E VENDA,2011,02,6
